Date,Open,High,Low,Close,Volume,Company
31/05/16,119.459999,120.099998,117.82,118.779999,19189500,Google
23/05/16,117.419998,119.849998,115.940002,119.379997,18423400,Google
16/05/16,119.379997,119.610001,115.879997,117.349998,22675100,Google
09/05/16,119.540001,121.080002,118.900002,119.809998,21098300,Google
02/05/16,117.830002,119.639999,116.57,119.489998,24622200,Google
25/04/16,109.870003,120.790001,106.309998,117.580002,42195000,Google
18/04/16,109.739998,114.040001,109.010002,110.559998,26195900,Google
11/04/16,110.699997,112.650002,106.519997,109.639999,40609400,Google
04/04/16,114.07,114.889999,109.900002,110.629997,32090800,Google
28/03/16,113.32,116.989998,112.949997,116.059998,26024700,Google
21/03/16,111.660004,113.190002,111.029999,113.050003,18221200,Google
14/03/16,109.279999,112.690002,108.769997,111.449997,23972700,Google
07/03/16,108.07,109.419998,104.400002,109.410004,24548300,Google
29/02/16,107.599998,110.550003,106.75,108.389999,26157200,Google
22/02/16,105.489998,109.449997,102.739998,107.919998,30290000,Google
16/02/16,103.800003,106,100.239998,104.57,37789900,Google
08/02/16,100.410004,105.110001,96.82,102.010002,51614300,Google
01/02/16,112.269997,117.589996,103.18,104.07,55501000,Google
25/01/16,98.720001,112.839996,94.230003,112.209999,55342000,Google
19/01/16,96.529999,98.07,89.370003,97.940002,37600800,Google
11/01/16,97.910004,100.580002,92.449997,94.970001,37120300,Google
04/01/16,101.949997,103.769997,97.029999,97.330002,33212600,Google
28/12/15,105.019997,107.739998,104.529999,104.660004,15392300,Google
21/12/15,104.910004,106.110001,103.599998,105.019997,14042200,Google
14/12/15,102.290001,107.75,101.459999,104.040001,25068600,Google
07/12/15,106.480003,106.910004,101.910004,102.120003,20518500,Google
30/11/15,105.839996,107.919998,103.349998,106.18,22226400,Google
23/11/15,107.190002,107.470001,104.389999,105.449997,16131200,Google
16/11/15,103.32,107.879997,100.470001,107.32,29520600,Google
09/11/15,107,109.870003,103.830002,103.949997,25535000,Google
02/11/15,101.720001,110.650002,101.18,107.099998,37406500,Google
26/10/15,102.199997,105.120003,101.550003,101.970001,25528400,Google
19/10/15,97.18,102.849998,96.470001,102.190002,29146200,Google
12/10/15,93.32,97.589996,92.669998,97.540001,22030700,Google
05/10/15,92.940002,94.269997,90.470001,93.239998,24242700,Google
28/09/15,92.080002,92.290001,85.720001,92.07,37363200,Google
21/09/15,94.620003,96.489998,91.919998,92.769997,29089500,Google
14/09/15,92.309998,95.510002,91.599998,94.400002,29090000,Google
08/09/15,89.690002,92.080002,88.830002,92.050003,26796500,Google
31/08/15,90.599998,91.050003,86.5,88.260002,30103100,Google
24/08/15,77.029999,91.480003,72,91.010002,51300700,Google
17/08/15,94.419998,96.099998,85.610001,86.059998,34244100,Google
10/08/15,95.68,95.900002,91.190002,94.419998,20909400,Google
03/08/15,93.529999,98.739998,92.800003,94.300003,28952500,Google
27/07/15,96.580002,97.279999,91.800003,94.010002,54238000,Google
20/07/15,95.849998,99.239998,94.809998,96.949997,37095400,Google
13/07/15,88.660004,95.389999,88.419998,94.970001,32659300,Google
06/07/15,86.489998,88.220001,85.230003,87.949997,25729600,Google
29/06/15,86.610001,87.949997,85.57,87.290001,25339900,Google
22/06/15,83.410004,89.400002,83.309998,88.010002,37387500,Google
15/06/15,80.550003,83.190002,80.07,82.510002,20196900,Google
08/06/15,81.82,82.900002,79.32,81.529999,17003700,Google
01/06/15,79.300003,82.949997,78.660004,82.139999,21164800,Google
26/05/15,80.43,81.07,78.879997,79.190002,14649700,Google
18/05/15,80.330002,81.690002,79.459999,80.540001,19119300,Google
11/05/15,78.480003,81.849998,76.790001,80.419998,27635900,Google
04/05/15,79.330002,79.690002,77.050003,78.510002,21071800,Google
27/04/15,81.870003,82.93,78.110001,78.989998,25757400,Google
20/04/15,81.540001,85.589996,81.239998,81.529999,40981000,Google
13/04/15,81.93,83.940002,80.370003,80.779999,21350800,Google
06/04/15,80.800003,83.419998,80.800003,82.040001,16790700,Google
30/03/15,83.809998,84.339996,80.870003,81.559998,21496000,Google
23/03/15,83.919998,86.07,82.139999,83.300003,29707400,Google
16/03/15,77.959999,84.599998,77.360001,83.800003,32990700,Google
09/03/15,79.68,79.910004,77.260002,78.050003,19371700,Google
02/03/15,79,81.989998,78.519997,80.010002,24147700,Google
23/02/15,79.959999,81.370003,78.099998,78.970001,26096200,Google
17/02/15,75.300003,80.339996,75.080002,79.900002,32615900,Google
09/02/15,74.050003,76.870003,73.449997,75.739998,17747900,Google
02/02/15,76.110001,76.349998,73.75,74.470001,25048400,Google
26/01/15,77.980003,78.470001,74.209999,75.910004,39324000,Google
20/01/15,75.720001,78.190002,74.82,77.830002,21046000,Google
12/01/15,77.839996,78.080002,73.540001,75.18,25242700,Google
05/01/15,77.980003,79.25,75.360001,77.739998,24202900,Google
29/12/14,80.489998,80.959999,77.699997,78.449997,16680800,Google
22/12/14,80.080002,82.169998,80,80.779999,17398600,Google
15/12/14,78.459999,80,74.589996,79.879997,33542400,Google
08/12/14,76.18,78.879997,74.779999,77.830002,28971300,Google
01/12/14,77.260002,77.309998,74.400002,76.360001,20774700,Google
